Id,SalePrice
1461,128390.41
1462,156389.5
1463,180445.7
1464,185579.0
1465,199078.96
1466,183427.57
1467,171108.36
1468,176015.0
1469,180318.52
1470,115799.6
1471,197129.79
1472,94482.0
1473,95795.0
1474,150931.0
1475,137773.65
1476,387510.04
1477,260527.16
1478,301679.48
1479,254303.6
1480,457391.65
1481,310781.29
1482,205905.46
1483,175098.17
1484,170998.72
1485,171100.59
1486,199968.5
1487,335112.75
1488,239232.74
1489,209770.87
1490,197264.67
1491,188458.4
1492,102760.71
1493,177275.84
1494,295413.87
1495,303300.13
1496,217285.16
1497,186333.32
1498,152949.3
1499,150966.62066666665
1500,153959.88333333333
1501,174748.0
1502,152542.99
1503,300319.44
1504,234761.22
1505,214899.84
1506,174882.0
1507,217166.5
1508,202359.98
1509,162260.0
1510,154241.37
1511,152607.69
1512,161864.5
1513,147019.65
1514,170187.84
1515,188142.11
1516,171589.35
1517,157050.62
1518,130885.45
1519,228375.05
1520,139575.5
1521,146885.0
1522,168386.5
1523,114079.68
1524,124353.0
1525,123979.64
1526,130372.8
1527,98931.78
1528,131003.83
1529,143712.62
1530,169750.0
1531,126806.3
1532,107490.4
1533,144395.25
1534,121679.5
1535,160098.4
1536,116735.38
1537,79120.98
1538,189486.65
1539,227167.41
1540,112280.2
1541,162383.89
1542,148384.18
1543,218655.17
1544,84141.61
1545,103686.04
1546,122359.93
1547,142844.18
1548,141233.34
1549,115735.76
1550,142877.5
1551,117726.8
1552,145490.66
1553,152303.57
1554,110606.02
1555,170964.0
1556,95035.58
1557,124806.27
1558,100112.93
1559,113298.21
1560,158739.0
1561,156854.95
1562,124328.16
1563,121182.5
1564,164781.02
1565,153483.88
1566,220031.28
1567,80053.04
1568,218182.98
1569,140236.4
1570,117790.51
1571,132043.5
1572,147461.75
1573,248273.97
1574,118691.86
1575,207180.2
1576,214389.6
1577,206774.56
1578,159295.6
1579,143329.0
1580,193762.78
1581,140690.5
1582,127997.5
1583,330136.74
1584,239889.86
1585,139074.0
1586,75604.83
1587,103783.29
1588,152287.25
1589,113063.38
1590,134062.5
1591,106036.74
1592,128159.46
1593,117209.58
1594,136604.85
1595,118504.37
1596,223249.0
1597,174683.79
1598,185457.15
1599,210650.78
1600,192980.3
1601,65581.32
1602,114179.86
1603,101170.84
1604,274238.0
1605,250240.69
1606,173647.0
1607,177499.99
1608,212286.98
1609,201806.88
1610,151173.33
1611,155969.65
1612,150461.57
1613,172944.88
1614,124902.15
1615,86052.04
1616,78047.43
1617,86154.5
1618,128963.0
1619,130392.5
1620,153650.96
1621,140929.48
1622,149036.85
1623,302810.6
1624,209066.0
1625,134222.83
1626,174364.0
1627,190237.97
1628,282651.98
1629,176548.44
1630,338771.48
1631,227734.63
1632,256759.57
1633,166909.94
1634,182452.0
1635,177316.72
1636,159732.61
1637,172494.82
1638,215707.0
1639,183182.05
1640,258425.0
1641,184029.85
1642,218460.28
1643,225746.34
1644,220207.94
1645,174149.5
1646,154616.5
1647,163994.8
1648,143397.74
1649,140869.0
1650,120357.6
1651,119357.16
1652,92769.0
1653,98986.0
1654,156193.5
1655,153772.6
1656,153564.82
1657,155983.5
1658,150603.75
1659,143726.5
1660,147473.2
1661,443805.02
1662,394184.06
1663,388006.28
1664,448941.3
1665,312750.23
1666,330821.47
1667,354082.37
1668,327949.09
1669,295513.65
1670,341260.01
1671,272145.96
1672,476202.3
1673,302163.81
1674,250293.37
1675,185863.25
1676,189147.0
1677,213793.8
1678,452999.12
1679,388669.26
1680,331843.55
1681,263159.46
1682,303229.25
1683,186437.56
1684,170930.59
1685,171290.64
1686,166895.88
1687,166821.45
1688,193002.32
1689,187492.19
1690,181491.2
1691,169931.81
1692,255986.51
1693,164339.7
1694,185712.0
1695,169229.45
1696,262413.07
1697,172451.3
1698,346992.95
1699,314992.78
1700,239669.96
1701,260854.46
1702,260729.68
1703,255974.92
1704,306975.71
1705,235422.3
1706,459838.02
1707,216064.3
1708,219944.75
1709,295115.86
1710,231079.98
1711,254920.81
1712,253586.02
1713,253857.25
1714,219294.89
1715,202100.5
1716,192863.53
1717,172426.82
1718,143940.37
1719,202247.57
1720,257514.98
1721,178059.9
1722,132826.14
1723,157695.5
1724,216113.94
1725,233590.5
1726,181110.14
1727,170520.35
1728,184375.85
1729,165616.05
1730,166169.14
1731,119741.58
1732,133541.6
1733,129096.03
1734,134542.0
1735,133335.0
1736,113240.91
1737,376676.97
1738,216207.16
1739,286629.56
1740,175850.05
1741,173653.13
1742,173090.0
1743,177641.5
1744,319124.65
1745,244256.83
1746,264500.21
1747,210129.23
1748,207728.25
1749,162150.67
1750,151727.23
1751,232364.8
1752,125427.33
1753,138729.24
1754,218003.17
1755,158945.59
1756,119865.45
1757,122558.91
1758,143112.5
1759,179126.05
1760,161984.82
1761,162523.69
1762,163028.67
1763,163599.02
1764,114264.01
